simlexorig999,simverb3500,card660
0.58808,0.45138,0.46812
0.6174,0.49785,0.47782
0.62701,0.49712,0.46937
0.63317,0.51424,0.4692
0.63851,0.5123,0.46412
0.65199,0.54395,0.46038
0.6463,0.53638,0.47214
0.65115,0.53629,0.47145
0.65881,0.54806,0.47114
0.66036,0.56068,0.46534
0.6639,0.55693,0.46795
0.66385,0.55272,0.46691
0.66743,0.55622,0.4601
0.67044,0.56164,0.46402
0.6733,0.56844,0.45305
0.67734,0.57131,0.46207
0.66935,0.5652,0.45677
0.67364,0.56613,0.45343
0.6686,0.56909,0.45134
0.67328,0.57097,0.45644
0.67823,0.58005,0.45404
0.67666,0.57939,0.45341
0.67516,0.57432,0.44926
0.67671,0.57552,0.45842
0.67671,0.57552,0.45842
0.67851,0.57746,0.46235
0.67947,0.57779,0.45901
0.67812,0.58022,0.45554
0.67625,0.57724,0.45705
0.67625,0.57724,0.45705
0.67625,0.57724,0.45705
0.67625,0.57724,0.45705
0.67625,0.57724,0.45705
0.67361,0.57818,0.45565
0.67673,0.58494,0.46147
0.67966,0.58114,0.45871
0.6785,0.57998,0.46042
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67677,0.58063,0.46345
0.67614,0.58504,0.45496
0.68104,0.58622,0.45541
0.68104,0.58622,0.45541
0.68104,0.58622,0.45541
0.68104,0.58622,0.45541
0.68104,0.58622,0.45541
0.68104,0.58622,0.45541
0.67768,0.58332,0.46178
0.68094,0.59083,0.45493
0.67911,0.58428,0.4594
0.67911,0.58428,0.4594
0.67789,0.58499,0.46187
0.67789,0.58499,0.46187
0.67823,0.58624,0.45816
0.67736,0.58689,0.46425
0.67736,0.58689,0.46425
0.67736,0.58689,0.46425
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.68129,0.58967,0.46158
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.67738,0.58894,0.46184
0.68122,0.58949,0.46817
0.68122,0.58949,0.46817
0.68122,0.58949,0.46817
0.68122,0.58949,0.46817
0.68122,0.58949,0.46817
0.68253,0.58732,0.45901
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67767,0.59066,0.4602
0.67972,0.5945,0.46177
0.67972,0.5945,0.46177
0.67972,0.5945,0.46177
0.67972,0.5945,0.46177
