simlexorig999,simverb3500,card660
0.53398,0.43,0.2929
0.59219,0.48058,0.30136
0.59743,0.48844,0.32814
0.62277,0.4975,0.39174
0.62526,0.50239,0.43206
0.63303,0.51735,0.44052
0.63306,0.52363,0.41617
0.63262,0.52058,0.44251
0.64365,0.53351,0.42111
0.64445,0.54614,0.4161
0.65328,0.54772,0.4191
0.64776,0.54937,0.42896
0.65267,0.54985,0.42074
0.65527,0.55297,0.42448
0.65527,0.55297,0.42448
0.65527,0.55297,0.42448
0.65264,0.54725,0.41548
0.6591,0.55162,0.43715
0.6591,0.55162,0.43715
0.6591,0.55162,0.43715
0.66192,0.56578,0.42649
0.66192,0.56578,0.42649
0.65914,0.55777,0.42039
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.65818,0.5597,0.432
0.66304,0.56135,0.4289
0.66036,0.56081,0.42534
0.6602,0.56166,0.43443
0.65784,0.55708,0.42132
0.65784,0.55708,0.42132
0.66242,0.56663,0.4151
0.66242,0.56663,0.4151
0.66242,0.56663,0.4151
0.66242,0.56663,0.4151
0.66242,0.56663,0.4151
0.66242,0.56663,0.4151
0.66204,0.56449,0.42276
0.66204,0.56449,0.42276
0.66449,0.56747,0.4234
0.66449,0.56747,0.4234
0.66532,0.57293,0.42573
0.66608,0.56493,0.42177
0.66608,0.56493,0.42177
0.66608,0.56493,0.42177
0.6651,0.56843,0.4193
0.6651,0.56843,0.4193
0.66702,0.56868,0.4237
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66434,0.56842,0.43202
0.66739,0.57299,0.42996
0.66739,0.57299,0.42996
0.66418,0.57223,0.43636
0.66418,0.57223,0.43636
0.66418,0.57223,0.43636
0.66418,0.57223,0.43636
0.66626,0.5722,0.42182
0.66626,0.5722,0.42182
0.66626,0.5722,0.42182
0.66737,0.57204,0.42581
0.66737,0.57204,0.42581
0.668,0.57799,0.42729
0.67208,0.57704,0.41989
