simlexorig999,simverb3500,card660
0.56838,0.41438,0.48713
0.57177,0.43431,0.48462
0.58596,0.45658,0.47222
0.59193,0.45672,0.47215
0.60966,0.473,0.46303
0.61192,0.47734,0.4775
0.61592,0.4786,0.4716
0.61666,0.48405,0.46952
0.621,0.48343,0.47313
0.61876,0.48702,0.46836
0.61701,0.48761,0.46895
0.61701,0.48761,0.46895
0.61984,0.48238,0.46302
0.62439,0.49199,0.46218
0.62688,0.48667,0.4689
0.63067,0.48837,0.47027
0.62388,0.49167,0.46013
0.62868,0.49058,0.46379
0.62842,0.49385,0.46322
0.62549,0.49834,0.46292
0.62667,0.49801,0.46506
0.62626,0.49756,0.45462
0.62639,0.49329,0.4636
0.62476,0.49326,0.45825
0.626,0.49427,0.46297
0.626,0.49427,0.46297
0.626,0.49427,0.46297
0.626,0.49427,0.46297
0.626,0.49427,0.46297
0.62786,0.49749,0.46309
0.62786,0.49749,0.46309
0.62786,0.49749,0.46309
0.62964,0.48893,0.4592
0.62964,0.48893,0.4592
0.63282,0.50356,0.45748
0.63282,0.50356,0.45748
0.63282,0.50356,0.45748
0.62856,0.50157,0.44861
0.62954,0.50023,0.45634
0.63135,0.50458,0.45324
0.63299,0.50219,0.44636
0.63299,0.50219,0.44636
0.62641,0.49677,0.44728
0.62641,0.49677,0.44728
0.62641,0.49677,0.44728
0.63356,0.50538,0.44655
0.63143,0.4986,0.4523
0.63107,0.49891,0.44254
0.62948,0.50091,0.44517
0.62948,0.50091,0.44517
0.62948,0.50091,0.44517
0.62866,0.49821,0.44889
0.63187,0.49793,0.44975
0.62734,0.495,0.44695
0.62734,0.495,0.44695
0.6276,0.49993,0.43812
0.6276,0.49993,0.43812
0.6276,0.49993,0.43812
0.6276,0.49993,0.43812
0.6276,0.49993,0.43812
0.63334,0.50453,0.44889
0.63334,0.50453,0.44889
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63384,0.50855,0.45218
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
0.63305,0.50443,0.44436
