simlexorig999,simverb3500,card660
0.52624,0.40747,0.24949
0.548,0.42856,0.28682
0.58428,0.45108,0.32748
0.58428,0.45108,0.32748
0.5994,0.45291,0.3331
0.60069,0.47279,0.39092
0.59795,0.46791,0.44292
0.59965,0.47155,0.43489
0.60814,0.47568,0.44239
0.61186,0.4752,0.42824
0.60619,0.48339,0.42715
0.61275,0.48306,0.41595
0.61275,0.48306,0.41595
0.61415,0.47902,0.41724
0.61153,0.48265,0.42957
0.61097,0.48107,0.43479
0.61097,0.48107,0.43479
0.61097,0.48107,0.43479
0.61097,0.48107,0.43479
0.61097,0.48107,0.43479
0.61127,0.4815,0.42321
0.61008,0.48345,0.42137
0.61124,0.48721,0.416
0.61124,0.48721,0.416
0.60946,0.48736,0.42485
0.60946,0.48736,0.42485
0.60946,0.48736,0.42485
0.60946,0.48736,0.42485
0.60946,0.48736,0.42485
0.60946,0.48736,0.42485
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61176,0.48766,0.42386
0.61661,0.49258,0.41551
0.61755,0.49183,0.40835
0.61667,0.49156,0.42086
0.61667,0.49156,0.42086
0.61667,0.49156,0.42086
0.61667,0.49156,0.42086
0.61667,0.49156,0.42086
0.61043,0.48551,0.42565
0.61456,0.49056,0.41474
0.61231,0.48969,0.4333
0.61231,0.48969,0.4333
0.6143,0.48646,0.42354
0.6143,0.48646,0.42354
0.61565,0.48895,0.42057
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
0.609,0.4918,0.43114
