simlexorig999,simverb3500,card660
0.55486,0.45065,0.48211
0.58035,0.47926,0.48084
0.60446,0.48516,0.48297
0.61298,0.51109,0.48993
0.61864,0.51797,0.47728
0.62058,0.52742,0.47915
0.62579,0.53168,0.4913
0.62554,0.53858,0.49854
0.62403,0.53671,0.48827
0.63411,0.55134,0.49354
0.63149,0.54667,0.48854
0.63767,0.55603,0.49469
0.64095,0.55594,0.48963
0.63675,0.5535,0.48188
0.64366,0.55831,0.49319
0.63846,0.55925,0.48752
0.64408,0.55659,0.49025
0.64331,0.56115,0.49078
0.64593,0.5654,0.49587
0.64709,0.56699,0.49385
0.64344,0.56443,0.49048
0.64496,0.56306,0.49219
0.64601,0.56608,0.49136
0.64257,0.56431,0.49395
0.64419,0.56258,0.49385
0.64463,0.56299,0.49693
0.64699,0.56679,0.49177
0.64837,0.56958,0.49419
0.64714,0.56995,0.49011
0.6497,0.57438,0.49095
0.64871,0.57246,0.48909
0.6476,0.57289,0.48326
0.65151,0.57419,0.49151
0.65179,0.57321,0.48768
0.65075,0.5763,0.49021
0.65075,0.5763,0.49021
0.65075,0.5763,0.49021
0.65075,0.5763,0.49021
0.64756,0.5748,0.48139
0.65209,0.57485,0.48416
0.65178,0.57994,0.48207
0.6536,0.58336,0.48972
0.6536,0.58336,0.48972
0.65463,0.58541,0.4911
0.65567,0.58146,0.47884
0.65451,0.57942,0.48335
0.65515,0.5758,0.48366
0.64793,0.57787,0.48336
0.65496,0.57924,0.49039
0.65508,0.58453,0.49539
0.65559,0.58025,0.49001
0.64985,0.58412,0.48757
0.64985,0.58412,0.48757
0.65477,0.58353,0.49193
0.65683,0.58203,0.49039
0.65728,0.58053,0.48846
0.65684,0.57975,0.49206
0.65793,0.58522,0.49023
0.6564,0.5853,0.49014
0.65507,0.58407,0.48542
0.64924,0.58445,0.49512
0.65579,0.58213,0.49251
0.65574,0.58238,0.49269
0.65852,0.58262,0.49341
0.64932,0.58113,0.49057
0.65862,0.5831,0.49272
0.65862,0.5831,0.49272
0.65404,0.58423,0.49437
0.65404,0.58423,0.49437
0.65681,0.57953,0.49603
0.65455,0.5878,0.48933
0.65637,0.58716,0.49899
0.65813,0.58769,0.49935
0.65813,0.58769,0.49935
0.65648,0.58659,0.48942
0.65648,0.58659,0.48942
0.65648,0.58659,0.48942
0.65694,0.5845,0.49472
0.66015,0.5859,0.49022
0.65544,0.58358,0.48983
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65384,0.58885,0.49404
0.65662,0.58599,0.49774
0.65662,0.58599,0.49774
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65779,0.59082,0.49409
0.65906,0.58656,0.49581
0.66022,0.58681,0.49368
