simlexorig999,simverb3500,card660
0.55906,0.46699,0.36203
0.58394,0.47779,0.40495
0.59596,0.48788,0.44558
0.59843,0.50439,0.47155
0.60481,0.50907,0.47941
0.60864,0.51252,0.46698
0.61471,0.52179,0.4681
0.60864,0.52554,0.47691
0.61375,0.52303,0.46252
0.62178,0.53337,0.4857
0.61371,0.52946,0.47297
0.62628,0.54796,0.47415
0.62656,0.54383,0.47076
0.62641,0.54399,0.46311
0.63228,0.5433,0.46207
0.63033,0.54903,0.48052
0.63515,0.54806,0.48587
0.63665,0.55242,0.48003
0.63716,0.55426,0.47559
0.63806,0.55761,0.478
0.63446,0.55617,0.4765
0.63225,0.54876,0.47767
0.63157,0.56193,0.47996
0.63733,0.56169,0.48037
0.63718,0.55684,0.47453
0.6369,0.55697,0.47497
0.64025,0.56165,0.47479
0.63722,0.55982,0.48146
0.63842,0.56339,0.46795
0.63932,0.56611,0.47342
0.63579,0.5615,0.47611
0.63579,0.5615,0.47611
0.63974,0.56048,0.47288
0.64329,0.56303,0.47814
0.64575,0.57119,0.47802
0.6439,0.57126,0.47708
0.64817,0.56876,0.48082
0.64633,0.56827,0.48304
0.64662,0.57585,0.47999
0.6466,0.57332,0.47497
0.64637,0.57566,0.47272
0.64747,0.57743,0.48137
0.64747,0.57743,0.48137
0.64747,0.57743,0.48137
0.64651,0.57472,0.47941
0.64479,0.57376,0.47918
0.6495,0.57174,0.47664
0.64907,0.57454,0.48519
0.64848,0.57654,0.48244
0.64591,0.57188,0.48747
0.65177,0.57442,0.47367
0.65177,0.57442,0.47367
0.65177,0.57442,0.47367
0.65092,0.57957,0.47834
0.65148,0.57735,0.48059
0.64649,0.57431,0.47819
0.65269,0.57723,0.47947
0.65395,0.57984,0.48306
0.65181,0.5786,0.47918
0.64082,0.57634,0.46321
0.64082,0.57634,0.46321
0.64834,0.57542,0.48138
0.65184,0.57792,0.48075
0.65217,0.57844,0.48643
0.65217,0.57844,0.48643
0.65366,0.57413,0.48032
0.65366,0.57413,0.48032
0.6503,0.57533,0.48239
0.65291,0.57702,0.47753
0.65291,0.57702,0.47753
0.65291,0.57702,0.47753
0.65354,0.5769,0.4827
0.65401,0.58161,0.48512
0.6513,0.5736,0.47969
0.6527,0.5779,0.4774
0.6527,0.5779,0.4774
0.6527,0.5779,0.4774
0.65396,0.57563,0.48191
0.6533,0.57802,0.47998
0.65185,0.57936,0.48249
0.65284,0.58221,0.47521
0.65357,0.58057,0.47849
0.65357,0.58057,0.47849
0.65255,0.57974,0.4752
0.65628,0.58228,0.48474
0.65711,0.58103,0.48098
0.65467,0.582,0.47068
0.65504,0.58076,0.48385
0.65546,0.57946,0.48372
0.65621,0.57926,0.47861
0.65462,0.58625,0.48037
0.65462,0.58625,0.48037
0.65462,0.58625,0.48037
0.6542,0.58443,0.48391
0.6542,0.58443,0.48391
0.65616,0.57888,0.48369
0.65616,0.57888,0.48369
0.65411,0.58263,0.48087
0.65492,0.58317,0.48279
0.6556,0.58417,0.48016
