simlexorig999,simverb3500,card660
0.52657,0.41673,0.46974
0.5598,0.45809,0.47596
0.57127,0.45782,0.48094
0.57582,0.45867,0.4834
0.5809,0.47127,0.49618
0.59031,0.47695,0.48365
0.58948,0.4748,0.48895
0.59055,0.48648,0.49117
0.58517,0.48599,0.48166
0.59598,0.48568,0.48868
0.58611,0.48047,0.48239
0.59618,0.49308,0.4902
0.59052,0.4924,0.48454
0.59291,0.49759,0.49027
0.59653,0.49837,0.48969
0.59649,0.50193,0.48862
0.59786,0.49734,0.48367
0.59747,0.49604,0.4763
0.59908,0.49985,0.48889
0.59959,0.50138,0.4926
0.60151,0.49977,0.48885
0.60313,0.50608,0.48953
0.60062,0.50571,0.49754
0.60643,0.51099,0.48731
0.60217,0.50318,0.4868
0.60217,0.50318,0.4868
0.60324,0.50234,0.48737
0.60331,0.50231,0.48948
0.60152,0.50439,0.48989
0.60179,0.5123,0.49
0.60194,0.50526,0.48666
0.60323,0.50765,0.48831
0.60027,0.50629,0.48996
0.60938,0.51471,0.48852
0.60672,0.5092,0.48912
0.605,0.50871,0.48956
0.605,0.50871,0.48956
0.60417,0.50634,0.4763
0.60441,0.51129,0.48743
0.60342,0.51287,0.49008
0.60308,0.50789,0.47727
0.60729,0.51479,0.48387
0.60496,0.51168,0.48062
0.60287,0.51079,0.48173
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60503,0.51175,0.48378
0.60805,0.51609,0.48815
0.60932,0.51765,0.49243
0.60876,0.51706,0.48836
0.60606,0.51291,0.48347
0.60512,0.51692,0.47951
0.60676,0.51778,0.48112
0.6049,0.51436,0.48471
0.60499,0.51281,0.48581
0.60642,0.51423,0.48138
0.60958,0.51506,0.4847
0.60958,0.51506,0.4847
0.60889,0.51441,0.48482
0.60646,0.51825,0.48761
0.60574,0.51581,0.48467
0.60797,0.51619,0.48457
0.60613,0.51426,0.47977
0.60571,0.51554,0.47849
0.60682,0.51671,0.4774
0.60767,0.51529,0.48296
0.60956,0.51726,0.48715
0.61097,0.51894,0.48708
0.60835,0.51927,0.48242
0.60701,0.51515,0.48335
0.60504,0.51985,0.48735
0.61069,0.5197,0.48852
0.61069,0.5197,0.48852
0.61069,0.5197,0.48852
0.60888,0.51459,0.48978
0.60448,0.51648,0.48532
0.60922,0.51984,0.47961
0.60969,0.51597,0.4801
0.60969,0.51597,0.4801
0.60969,0.51597,0.4801
0.60794,0.52031,0.48317
0.60794,0.52031,0.48317
0.60794,0.52031,0.48317
0.60906,0.51905,0.48294
0.60957,0.52047,0.4886
0.60958,0.52242,0.48191
0.60716,0.52092,0.4789
0.60557,0.51473,0.47704
0.60701,0.52038,0.48193
0.60554,0.51531,0.48048
0.6089,0.52116,0.47908
0.6089,0.52116,0.47908
