simlexorig999,simverb3500,card660
0.53297,0.4318,0.39148
0.5682,0.45724,0.39603
0.55879,0.45262,0.44906
0.56545,0.45748,0.47133
0.56995,0.46753,0.47419
0.57701,0.47749,0.47055
0.57854,0.46825,0.46427
0.57863,0.47023,0.46863
0.58331,0.48398,0.4774
0.58806,0.48014,0.47158
0.58681,0.47147,0.46292
0.59024,0.48804,0.47003
0.5915,0.4838,0.46411
0.58818,0.48702,0.46468
0.58937,0.49038,0.46399
0.59668,0.49313,0.47046
0.59633,0.49257,0.46621
0.59009,0.49108,0.46994
0.59043,0.49271,0.4673
0.5942,0.4967,0.47546
0.59382,0.48834,0.47404
0.59137,0.48979,0.47342
0.59679,0.49443,0.47547
0.59401,0.49987,0.47339
0.60152,0.49779,0.48352
0.60152,0.49779,0.48352
0.5976,0.49816,0.47973
0.59701,0.49658,0.47515
0.59398,0.49926,0.47599
0.5982,0.50111,0.47156
0.59678,0.49463,0.47412
0.59966,0.50128,0.47112
0.59909,0.50251,0.47322
0.59698,0.49921,0.47682
0.59972,0.50125,0.47801
0.59773,0.50559,0.47911
0.59916,0.49974,0.47756
0.59718,0.5025,0.4712
0.59764,0.50592,0.47907
0.59924,0.50537,0.48354
0.59893,0.50314,0.4746
0.60009,0.50353,0.46918
0.59661,0.50306,0.47552
0.59544,0.50225,0.47983
0.60514,0.50365,0.47306
0.60514,0.50365,0.47306
0.60183,0.50559,0.48136
0.60183,0.50559,0.48136
0.60306,0.50523,0.47261
0.60058,0.50656,0.47925
0.60224,0.50654,0.47339
0.60179,0.50519,0.48133
0.60278,0.50853,0.47109
0.59908,0.50261,0.48104
0.59908,0.50261,0.48104
0.59908,0.50261,0.48104
0.60327,0.50522,0.4746
0.60375,0.50964,0.48276
0.60048,0.50679,0.47579
0.60048,0.50679,0.47579
0.60048,0.50679,0.47579
0.60245,0.50808,0.47526
0.59527,0.50616,0.47778
0.6027,0.50467,0.47726
0.59786,0.50658,0.47743
0.60002,0.50886,0.47224
0.60188,0.50737,0.47677
0.60265,0.51129,0.48202
0.60201,0.50565,0.48248
0.60002,0.50598,0.47101
0.6011,0.5084,0.47483
0.59854,0.50587,0.47398
0.59835,0.50671,0.47351
0.60078,0.50888,0.47532
0.60435,0.51132,0.48037
0.60257,0.51094,0.48057
0.60257,0.51094,0.48057
0.59845,0.5103,0.48326
0.60196,0.50948,0.47877
0.60196,0.50903,0.48127
0.60054,0.5089,0.47834
0.59741,0.51139,0.48384
0.5998,0.51049,0.48027
0.60213,0.51301,0.48155
0.60135,0.50899,0.47823
0.60135,0.51044,0.48183
0.60135,0.51044,0.48183
0.60135,0.51044,0.48183
0.60135,0.51044,0.48183
0.59849,0.50903,0.48239
0.60354,0.51146,0.48039
0.60354,0.51146,0.48039
0.60354,0.51146,0.48039
0.60766,0.51523,0.48113
0.60214,0.50889,0.47708
0.60214,0.50889,0.47708
0.60214,0.50889,0.47708
0.60214,0.50889,0.47708
0.60348,0.51076,0.47909
0.60348,0.51076,0.47909
