simlexorig999,simverb3500,card660
0.58332,0.43158,0.36752
0.60874,0.4607,0.38025
0.62025,0.48365,0.3708
0.63833,0.48675,0.36831
0.63807,0.49729,0.37544
0.64262,0.52085,0.36553
0.64795,0.51777,0.36842
0.65441,0.52369,0.37609
0.65554,0.52521,0.36803
0.65929,0.52546,0.37437
0.65914,0.53876,0.37163
0.66251,0.54005,0.35845
0.66663,0.53823,0.36663
0.66625,0.54595,0.37595
0.6626,0.54176,0.36995
0.67043,0.55198,0.36314
0.66662,0.54497,0.37185
0.67102,0.54654,0.35475
0.66967,0.5489,0.37475
0.67207,0.5467,0.36084
0.67569,0.55597,0.37396
0.67577,0.55922,0.38565
0.67572,0.5525,0.37334
0.67337,0.56041,0.38225
0.67739,0.56161,0.37361
0.68401,0.56656,0.37223
0.68401,0.56656,0.37223
0.68139,0.56876,0.37074
0.68358,0.56898,0.38053
0.68107,0.56333,0.37617
0.68055,0.56717,0.37186
0.67777,0.56258,0.36522
0.67861,0.56271,0.3714
0.68086,0.56122,0.37614
0.68097,0.56454,0.36575
0.68031,0.56439,0.37463
0.67951,0.56441,0.37895
0.68306,0.56671,0.36106
0.68086,0.56365,0.37863
0.68086,0.56365,0.37863
0.68086,0.56365,0.37863
0.6824,0.56274,0.37735
0.68521,0.56635,0.37912
0.68415,0.56469,0.36747
0.68428,0.56801,0.37231
0.68468,0.56699,0.37842
0.68794,0.56607,0.37367
0.68794,0.56607,0.37367
0.68442,0.57243,0.37063
0.68442,0.57243,0.37063
0.68442,0.57243,0.37063
0.68442,0.57243,0.37063
0.68351,0.56732,0.37015
0.6825,0.56398,0.37217
0.68433,0.56917,0.3791
0.68524,0.57108,0.37644
0.68524,0.57108,0.37644
0.68524,0.57108,0.37644
0.68524,0.57108,0.37644
0.68797,0.57659,0.3732
0.68797,0.57659,0.3732
0.68797,0.57659,0.3732
0.68797,0.57659,0.3732
0.68797,0.57659,0.3732
0.68364,0.57065,0.36881
0.68364,0.57065,0.36881
0.68364,0.57065,0.36881
0.68364,0.57065,0.36881
0.68665,0.57405,0.36713
0.68878,0.57146,0.37075
0.68878,0.57146,0.37075
0.68842,0.57454,0.36421
0.68794,0.57018,0.36291
0.68794,0.57018,0.36291
0.68575,0.57102,0.37083
0.68686,0.57558,0.36801
0.68686,0.57558,0.36801
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68673,0.57443,0.37199
0.68751,0.57922,0.37857
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
0.68755,0.57643,0.36891
