simlexorig999,simverb3500,card660
0.54965,0.42633,0.22378
0.57204,0.42466,0.25684
0.60665,0.47228,0.26638
0.61337,0.46746,0.29394
0.62566,0.49241,0.3023
0.61751,0.50038,0.31993
0.63417,0.49323,0.34535
0.64467,0.51003,0.34784
0.6459,0.51816,0.33897
0.64755,0.50996,0.3409
0.64891,0.53167,0.34091
0.65378,0.53157,0.34027
0.65472,0.53373,0.34112
0.6593,0.54084,0.33881
0.65456,0.53466,0.34823
0.65572,0.53711,0.35392
0.6548,0.53088,0.34885
0.66394,0.53582,0.33787
0.66287,0.53981,0.33794
0.6624,0.54295,0.34362
0.66174,0.54902,0.3298
0.66623,0.54599,0.32901
0.66623,0.54599,0.32901
0.66235,0.55659,0.34853
0.66311,0.54779,0.33354
0.66311,0.54779,0.33354
0.66223,0.54231,0.35186
0.66223,0.54231,0.35186
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66917,0.55409,0.34101
0.66758,0.54402,0.34093
0.66758,0.54402,0.34093
0.66758,0.54402,0.34093
0.66798,0.55243,0.33506
0.66798,0.55243,0.33506
0.66798,0.55243,0.33506
0.66903,0.55177,0.32902
0.66903,0.55177,0.32902
0.66903,0.55177,0.32902
0.66903,0.55177,0.32902
0.66903,0.55177,0.32902
0.67498,0.55545,0.33873
0.67498,0.55545,0.33873
0.66861,0.55859,0.33545
0.66861,0.55859,0.33545
0.66861,0.55859,0.33545
0.66861,0.55859,0.33545
0.66861,0.55859,0.33545
0.66938,0.54845,0.33845
0.66938,0.54845,0.33845
0.66938,0.54845,0.33845
0.66938,0.54845,0.33845
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.67038,0.5567,0.33834
0.6736,0.5538,0.34441
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67808,0.55848,0.3389
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67322,0.55712,0.34512
0.67485,0.56076,0.34352
0.67321,0.55769,0.32912
