simlexorig999,simverb3500,card660
0.55391,0.40258,0.37124
0.55748,0.4092,0.37243
0.57377,0.42199,0.36815
0.58688,0.42833,0.36361
0.58701,0.4378,0.37097
0.59173,0.44871,0.36956
0.59275,0.44327,0.3799
0.59507,0.43918,0.37405
0.59484,0.44867,0.36641
0.59647,0.43867,0.37308
0.59869,0.44952,0.3663
0.60191,0.45115,0.35711
0.60188,0.44851,0.3838
0.60301,0.45285,0.3674
0.60045,0.44672,0.3604
0.60616,0.45712,0.36661
0.60616,0.45712,0.36661
0.60671,0.45123,0.36223
0.60763,0.45407,0.37392
0.60412,0.45773,0.36503
0.60596,0.45898,0.36601
0.6084,0.46232,0.37721
0.60852,0.45687,0.37124
0.60253,0.45445,0.38731
0.60253,0.45445,0.38731
0.60742,0.45846,0.36936
0.60742,0.45846,0.36936
0.6082,0.46013,0.37358
0.61188,0.46064,0.37185
0.60924,0.45695,0.36873
0.6079,0.46004,0.36736
0.6079,0.46004,0.36736
0.60981,0.45848,0.37523
0.61177,0.45785,0.36772
0.61014,0.4584,0.36668
0.60969,0.45899,0.3648
0.60969,0.45899,0.3648
0.60969,0.45899,0.3648
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61048,0.46463,0.35967
0.61057,0.46314,0.37002
0.61057,0.46314,0.37002
0.60612,0.4608,0.35679
0.60612,0.4608,0.35679
0.60612,0.4608,0.35679
0.60778,0.45826,0.3696
0.61123,0.46235,0.36939
0.60622,0.45815,0.37564
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
0.6058,0.45752,0.3695
