simlexorig999,simverb3500,card660
0.52452,0.39268,0.22155
0.54476,0.39432,0.23947
0.54466,0.41391,0.24462
0.56285,0.41134,0.27213
0.56285,0.41134,0.27213
0.57178,0.42908,0.28445
0.57873,0.42493,0.27787
0.5812,0.41602,0.28457
0.5795,0.42863,0.33375
0.58817,0.42281,0.33952
0.58693,0.44028,0.33069
0.59071,0.43933,0.3393
0.58577,0.43515,0.33368
0.59322,0.44746,0.31808
0.59293,0.4435,0.31341
0.59486,0.44609,0.33024
0.59486,0.44609,0.33024
0.59486,0.44609,0.33024
0.59486,0.44609,0.33024
0.59486,0.44609,0.33024
0.58732,0.43889,0.31998
0.59041,0.44332,0.31324
0.59041,0.44332,0.31324
0.58452,0.44771,0.32439
0.58874,0.44693,0.31805
0.59551,0.44572,0.33018
0.59489,0.44421,0.33827
0.59346,0.44161,0.32061
0.59565,0.44881,0.32277
0.59565,0.44881,0.32277
0.59565,0.44881,0.32277
0.59556,0.44568,0.31868
0.59556,0.44568,0.31868
0.59556,0.44568,0.31868
0.59556,0.44568,0.31868
0.59334,0.44342,0.32872
0.59334,0.44342,0.32872
0.59334,0.44342,0.32872
0.59334,0.44342,0.32872
0.59334,0.44342,0.32872
0.59334,0.44342,0.32872
0.59459,0.44757,0.31795
0.59459,0.44757,0.31795
0.59459,0.44757,0.31795
0.59459,0.44757,0.31795
0.59459,0.44757,0.31795
0.59487,0.4475,0.32718
0.59487,0.4475,0.32718
0.59142,0.4454,0.322
0.59142,0.4454,0.322
0.59142,0.4454,0.322
0.59142,0.4454,0.322
0.59142,0.4454,0.322
0.59329,0.44207,0.32342
0.59329,0.44207,0.32342
0.60001,0.44854,0.32516
0.60001,0.44854,0.32516
0.59685,0.44656,0.31721
0.59685,0.44656,0.31721
0.59984,0.45377,0.31923
0.59984,0.45377,0.31923
0.59984,0.45377,0.31923
0.59984,0.45377,0.31923
0.60328,0.45174,0.32493
0.60029,0.45172,0.31392
0.60029,0.45172,0.31392
0.60029,0.45172,0.31392
0.60029,0.45172,0.31392
0.59768,0.45043,0.3151
0.59758,0.45119,0.32503
0.59758,0.45119,0.32503
0.59931,0.44801,0.3206
0.59931,0.44801,0.3206
0.59931,0.44801,0.3206
0.59931,0.44801,0.3206
0.59913,0.45076,0.31502
0.59954,0.44562,0.32911
0.59954,0.44562,0.32911
0.59954,0.44562,0.32911
0.59937,0.44868,0.31213
0.59937,0.44868,0.31213
0.60069,0.44983,0.30932
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.60177,0.45526,0.31992
0.59572,0.4507,0.32943
0.59572,0.4507,0.32943
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
0.60228,0.45844,0.33091
