simlexorig999,simverb3500,card660
0.55959,0.4535,0.19177
0.5877,0.4766,0.19337
0.59244,0.49257,0.18162
0.60846,0.50962,0.18623
0.61507,0.51066,0.1734
0.62156,0.52154,0.16806
0.62845,0.5342,0.18276
0.6271,0.53162,0.19391
0.62179,0.53462,0.17934
0.62854,0.54312,0.19898
0.63423,0.5505,0.19419
0.63308,0.54358,0.19174
0.63549,0.55285,0.19183
0.63721,0.54754,0.18402
0.63544,0.55259,0.20819
0.63256,0.54653,0.1848
0.63228,0.55811,0.19963
0.6375,0.55772,0.19242
0.64142,0.55919,0.18607
0.64293,0.56066,0.19101
0.63573,0.56053,0.19423
0.64865,0.56986,0.20108
0.64026,0.56353,0.17682
0.64587,0.56947,0.19579
0.64825,0.5676,0.17709
0.6457,0.56523,0.18895
0.64398,0.56331,0.17846
0.64269,0.57051,0.19787
0.64455,0.56508,0.18488
0.64511,0.56818,0.17722
0.6462,0.5685,0.18938
0.64225,0.56862,0.18521
0.64225,0.56862,0.18521
0.64821,0.57238,0.17781
0.64934,0.57125,0.1946
0.64641,0.57255,0.19457
0.64813,0.57078,0.17925
0.64848,0.57534,0.18353
0.64594,0.56982,0.18394
0.65149,0.57767,0.20135
0.64785,0.57285,0.17007
0.64769,0.57629,0.1697
0.65316,0.57562,0.19646
0.65119,0.57277,0.18563
0.652,0.57573,0.19163
0.65596,0.58112,0.17002
0.64798,0.57535,0.1859
0.65073,0.57388,0.18493
0.65073,0.57388,0.18493
0.64934,0.5749,0.18541
0.65133,0.57726,0.17614
0.653,0.57912,0.19163
0.64897,0.57776,0.17843
0.64897,0.57776,0.17843
0.65175,0.58022,0.18535
0.65272,0.57536,0.19457
0.65272,0.57536,0.19457
0.65225,0.57949,0.17834
0.65335,0.57907,0.17846
0.65165,0.58328,0.18562
0.64838,0.58513,0.18561
0.64838,0.58513,0.18561
0.6523,0.58254,0.185
0.65606,0.58419,0.19315
0.65503,0.58046,0.17833
0.65505,0.58038,0.18574
0.65419,0.58148,0.18615
0.65514,0.58172,0.17828
0.65514,0.58172,0.17828
0.65453,0.58034,0.18567
0.65085,0.57882,0.17828
0.65369,0.58029,0.18606
0.65383,0.5838,0.17766
0.65383,0.5838,0.17766
0.654,0.58322,0.18535
0.65424,0.57825,0.17794
0.6548,0.58221,0.18563
0.65331,0.58379,0.17911
0.64531,0.57994,0.18537
0.64531,0.57994,0.18537
0.64531,0.57994,0.18537
0.64531,0.57994,0.18537
0.64531,0.57994,0.18537
0.65297,0.58422,0.19361
0.65297,0.58422,0.19361
0.65297,0.58422,0.19361
0.64646,0.58192,0.19315
0.65408,0.58605,0.17751
0.65285,0.58419,0.18553
0.65297,0.58503,0.18593
0.65365,0.58261,0.1858
0.65365,0.58261,0.1858
0.65365,0.58261,0.1858
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
0.65407,0.58304,0.17836
