simlexorig999,simverb3500,card660
0.55424,0.46296,0.12579
0.5812,0.48255,0.11461
0.57888,0.48084,0.14382
0.58814,0.4865,0.16915
0.6002,0.50194,0.16511
0.59996,0.51344,0.16635
0.61837,0.52864,0.16212
0.6204,0.52996,0.17621
0.61682,0.53044,0.16993
0.62357,0.5338,0.17918
0.62535,0.53763,0.17943
0.62479,0.53959,0.18469
0.62973,0.54001,0.1813
0.62943,0.53868,0.18124
0.62566,0.53956,0.18583
0.62571,0.54035,0.1842
0.63165,0.55369,0.19866
0.63051,0.55347,0.19322
0.63195,0.54579,0.18171
0.63559,0.55476,0.17829
0.6373,0.55782,0.18632
0.63559,0.55982,0.17507
0.63614,0.55731,0.1751
0.6368,0.55871,0.18166
0.63578,0.55798,0.16723
0.63681,0.56138,0.18145
0.63681,0.56138,0.18145
0.63905,0.56046,0.17911
0.63416,0.5554,0.18126
0.6379,0.56055,0.17583
0.64011,0.56629,0.18154
0.64001,0.56364,0.18624
0.6378,0.56335,0.18462
0.63655,0.56444,0.19159
0.64299,0.56575,0.18206
0.64299,0.56575,0.18206
0.64221,0.56758,0.1782
0.63873,0.56531,0.17127
0.63957,0.5671,0.16668
0.64736,0.57285,0.18201
0.64441,0.56936,0.18283
0.63498,0.56999,0.18586
0.64298,0.57384,0.18585
0.63513,0.56742,0.17811
0.64539,0.57291,0.1952
0.64614,0.57336,0.18703
0.64218,0.57365,0.18179
0.64391,0.57119,0.18145
0.64391,0.57119,0.18145
0.64391,0.57119,0.18145
0.6459,0.57414,0.18662
0.64488,0.58017,0.18193
0.64382,0.57805,0.18556
0.64539,0.58017,0.1872
0.64728,0.57831,0.18214
0.64505,0.57432,0.17159
0.64505,0.57432,0.17159
0.64505,0.57432,0.17159
0.64576,0.57548,0.1887
0.64432,0.57769,0.17786
0.64432,0.57769,0.17786
0.64432,0.57769,0.17786
0.64432,0.57769,0.17786
0.65033,0.58301,0.17546
0.65033,0.58301,0.17546
0.65033,0.58301,0.17546
0.65033,0.58301,0.17546
0.65033,0.58301,0.17546
0.65033,0.58301,0.17546
0.64673,0.57665,0.1868
0.64444,0.57577,0.17675
0.649,0.57744,0.18088
0.65142,0.58149,0.17821
0.65021,0.58093,0.18144
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64693,0.58252,0.18126
0.64701,0.57807,0.18148
0.64701,0.57807,0.18148
0.64701,0.57807,0.18148
0.64826,0.57845,0.17786
0.65277,0.58307,0.18169
0.65277,0.58307,0.18169
0.65277,0.58307,0.18169
0.65277,0.58307,0.18169
0.64818,0.5742,0.17843
0.64818,0.5742,0.17843
0.64842,0.57964,0.17228
0.64842,0.57964,0.17228
0.64842,0.57964,0.17228
0.64842,0.57964,0.17228
0.64842,0.57964,0.17228
0.64684,0.57555,0.17849
0.647,0.57998,0.18226
