simlexorig999,simverb3500,card660
0.54782,0.45054,0.19114
0.56878,0.47157,0.17718
0.57224,0.47545,0.19116
0.58081,0.483,0.20416
0.59047,0.49379,0.17647
0.59205,0.49747,0.18382
0.60147,0.50278,0.17621
0.59422,0.50034,0.18882
0.59508,0.49919,0.18487
0.58777,0.5056,0.18239
0.60165,0.51115,0.18157
0.59401,0.50985,0.17932
0.59665,0.51075,0.19452
0.6045,0.5148,0.18135
0.59837,0.51526,0.17507
0.60002,0.51404,0.18139
0.60407,0.51626,0.19032
0.60269,0.51896,0.19089
0.59943,0.51516,0.1907
0.6012,0.518,0.18118
0.60031,0.51707,0.1993
0.60572,0.52487,0.18149
0.60314,0.51961,0.18134
0.60711,0.52239,0.18512
0.60683,0.52509,0.17897
0.60447,0.52329,0.17748
0.60389,0.51815,0.16788
0.60289,0.52361,0.18778
0.60419,0.52063,0.17888
0.60566,0.52064,0.17275
0.60832,0.52503,0.17699
0.6049,0.52338,0.1678
0.60663,0.52323,0.17587
0.60522,0.52339,0.17576
0.60876,0.52484,0.17912
0.60312,0.52625,0.16762
0.60563,0.52663,0.17542
0.59963,0.5237,0.17592
0.60419,0.52428,0.16817
0.60588,0.52687,0.16768
0.60958,0.52818,0.1676
0.6043,0.52727,0.1756
0.60294,0.5258,0.18179
0.59867,0.52434,0.18154
0.6074,0.52546,0.17124
0.6074,0.52546,0.17124
0.6074,0.52546,0.17124
0.60151,0.51912,0.17535
0.60151,0.51912,0.17535
0.59972,0.52253,0.16759
0.60223,0.52287,0.1678
0.60388,0.52671,0.16756
0.60615,0.52605,0.17611
0.60615,0.52605,0.17611
0.60702,0.52394,0.17546
0.6075,0.52498,0.1714
0.6075,0.52498,0.1714
0.6075,0.52498,0.1714
0.60981,0.52736,0.17982
0.60896,0.52271,0.18729
0.60698,0.52603,0.17916
0.60802,0.52831,0.17943
0.6033,0.52784,0.17916
0.60962,0.52548,0.17929
0.609,0.53111,0.1792
0.609,0.53111,0.1792
0.61042,0.52731,0.1795
0.60854,0.52952,0.17614
0.60854,0.52952,0.17614
0.60739,0.52967,0.17913
0.60927,0.52591,0.17162
0.60913,0.53269,0.18708
0.60922,0.52902,0.17908
0.60922,0.52902,0.17908
0.60922,0.52902,0.17908
0.6018,0.52634,0.179
0.61251,0.5292,0.17935
0.61134,0.53029,0.16803
0.60861,0.5311,0.17548
0.60861,0.5311,0.17548
0.60923,0.52895,0.17935
0.61007,0.52885,0.17904
0.60722,0.52983,0.16773
0.61221,0.5309,0.18199
0.61221,0.5309,0.18199
0.60885,0.52872,0.1754
0.60922,0.52999,0.16817
0.60922,0.52999,0.16817
0.60922,0.52999,0.16817
0.60922,0.52999,0.16817
0.60922,0.52999,0.16817
0.6092,0.52753,0.16806
0.6092,0.52753,0.16806
0.61038,0.53111,0.17628
0.61038,0.53111,0.17628
0.61038,0.53111,0.17628
0.61038,0.53111,0.17628
0.61038,0.53111,0.17628
0.61129,0.5297,0.17559
0.61129,0.5297,0.17559
