simlexorig999,simverb3500,card660
0.5479,0.44475,0.11749
0.55735,0.46832,0.11139
0.57626,0.47384,0.1121
0.5721,0.47625,0.15993
0.57696,0.48857,0.15337
0.58137,0.49265,0.15883
0.59674,0.50059,0.14621
0.59206,0.49688,0.16094
0.59208,0.49786,0.16758
0.59399,0.50096,0.16854
0.59642,0.50484,0.16327
0.58929,0.50568,0.15006
0.59871,0.50921,0.15772
0.60014,0.51014,0.17616
0.59074,0.505,0.16891
0.59343,0.50616,0.18103
0.59733,0.51236,0.17383
0.60034,0.51766,0.18077
0.60204,0.51187,0.15714
0.60086,0.51934,0.16921
0.60069,0.5128,0.17017
0.60115,0.5184,0.15319
0.59968,0.51602,0.17413
0.60101,0.5186,0.16224
0.59753,0.52172,0.17048
0.60138,0.52223,0.16215
0.59928,0.51999,0.17028
0.60232,0.52114,0.16267
0.59608,0.51687,0.17034
0.60126,0.51905,0.16905
0.60117,0.51993,0.16985
0.59282,0.5173,0.16247
0.60072,0.51746,0.17035
0.60491,0.52336,0.17849
0.60408,0.52051,0.17396
0.60408,0.52051,0.17396
0.60375,0.52049,0.16994
0.60238,0.52028,0.17808
0.60238,0.52028,0.17808
0.60713,0.52304,0.16309
0.60697,0.5245,0.16951
0.60117,0.52435,0.17042
0.60117,0.52435,0.17042
0.60481,0.52218,0.16184
0.60378,0.52759,0.16299
0.60195,0.5239,0.16149
0.59881,0.52502,0.17838
0.59707,0.52502,0.17847
0.59707,0.52502,0.17847
0.60281,0.52444,0.17834
0.60396,0.52484,0.1708
0.60363,0.52523,0.17078
0.60363,0.52523,0.17078
0.60363,0.52523,0.17078
0.6024,0.52239,0.1759
0.60493,0.52159,0.16213
0.60493,0.52159,0.16213
0.60493,0.52159,0.16213
0.60369,0.52463,0.17867
0.60645,0.52532,0.16197
0.60682,0.52795,0.17872
0.60449,0.52444,0.16208
0.59565,0.52527,0.16331
0.60767,0.52912,0.17891
0.60421,0.52842,0.17887
0.60384,0.5247,0.1791
0.60549,0.52558,0.17897
0.60667,0.5299,0.17869
0.60443,0.52891,0.16217
0.60451,0.52872,0.17861
0.60511,0.52634,0.16148
0.60692,0.52996,0.16195
0.60934,0.53157,0.16993
0.60934,0.53157,0.16993
0.60752,0.53154,0.16192
0.60752,0.53154,0.16192
0.60752,0.53154,0.16192
0.60752,0.53154,0.16192
0.60423,0.5283,0.16914
0.60423,0.5283,0.16914
0.60629,0.52714,0.16167
0.60629,0.52714,0.16167
0.60629,0.52714,0.16167
0.60673,0.52992,0.1699
0.60753,0.52855,0.1785
0.60651,0.52977,0.16191
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
0.60633,0.52872,0.16979
