simlexorig999,simverb3500,card660
0.5637,0.44264,0.44092
0.58582,0.45405,0.4533
0.59008,0.45482,0.4307
0.60182,0.46771,0.44241
0.60531,0.47729,0.45001
0.60479,0.48166,0.44182
0.61316,0.48648,0.43667
0.60771,0.48588,0.43455
0.61073,0.48843,0.43391
0.61012,0.49021,0.42983
0.60242,0.49021,0.41923
0.6033,0.49227,0.42712
0.60624,0.49464,0.43269
0.60534,0.49153,0.43629
0.59978,0.49652,0.43208
0.61028,0.4943,0.42315
0.60771,0.50252,0.42159
0.60796,0.4961,0.41538
0.6047,0.49479,0.42018
0.60909,0.49517,0.41822
0.61533,0.50511,0.41719
0.61355,0.50356,0.42101
0.61141,0.49989,0.426
0.60786,0.49837,0.41365
0.61114,0.50729,0.41555
0.6093,0.50197,0.41388
0.6093,0.50197,0.41388
0.6093,0.50197,0.41388
0.60381,0.50135,0.42198
0.60964,0.50488,0.42275
0.60677,0.5005,0.4167
0.60677,0.5005,0.4167
0.60677,0.5005,0.4167
0.60677,0.5005,0.4167
0.60677,0.5005,0.4167
0.61037,0.50261,0.41308
0.61037,0.50261,0.41308
0.61037,0.50261,0.41308
0.61162,0.50075,0.41247
0.61249,0.50622,0.4237
0.60879,0.50332,0.41564
0.60804,0.50553,0.41577
0.60823,0.50677,0.41071
0.6053,0.4997,0.42112
0.60789,0.50506,0.41843
0.61057,0.50287,0.41335
0.60702,0.5068,0.41922
0.60314,0.50112,0.41455
0.60323,0.50735,0.41081
0.6089,0.50572,0.42563
0.61124,0.50631,0.41591
0.60663,0.50267,0.41857
0.60663,0.50267,0.41857
0.60663,0.50267,0.41857
0.60763,0.5085,0.42357
0.60763,0.5085,0.42357
0.60467,0.50179,0.41864
0.60467,0.50179,0.41864
0.60855,0.5059,0.42672
0.60855,0.5059,0.42672
0.60855,0.5059,0.42672
0.60855,0.5059,0.42672
0.60608,0.50465,0.42054
0.60608,0.50465,0.42054
0.60793,0.50769,0.41941
0.60716,0.503,0.40945
0.60675,0.50235,0.41798
0.60675,0.50235,0.41798
0.60268,0.50836,0.42832
0.60268,0.50836,0.42832
0.60268,0.50836,0.42832
0.60268,0.50836,0.42832
0.60268,0.50836,0.42832
0.60743,0.50676,0.41827
0.60743,0.50676,0.41827
0.60743,0.50676,0.41827
0.60469,0.504,0.41734
0.60469,0.504,0.41734
0.60469,0.504,0.41734
0.6098,0.50912,0.41462
0.6098,0.50912,0.41462
0.6077,0.50593,0.41323
0.6077,0.50593,0.41323
0.60669,0.50432,0.41539
0.60834,0.51014,0.41297
0.60449,0.50545,0.41465
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60734,0.51029,0.41795
0.60794,0.50566,0.41746
0.60794,0.50566,0.41746
0.60794,0.50566,0.41746
0.60794,0.50566,0.41746
0.60794,0.50566,0.41746
0.60794,0.50566,0.41746
