simlexorig999,simverb3500,card660
0.58834,0.46963,0.46489
0.60547,0.49435,0.46883
0.63191,0.50952,0.47478
0.63907,0.51978,0.46018
0.64387,0.52506,0.45662
0.64604,0.5264,0.46231
0.65185,0.53469,0.46637
0.65534,0.54562,0.46268
0.65876,0.54729,0.45997
0.66195,0.55288,0.46775
0.66317,0.5479,0.47528
0.66728,0.55138,0.469
0.66559,0.55318,0.46027
0.66089,0.55272,0.47022
0.66684,0.55965,0.4604
0.66708,0.55367,0.46451
0.66971,0.55818,0.4646
0.66812,0.56151,0.45752
0.67072,0.56329,0.45324
0.67227,0.56639,0.44749
0.67277,0.56855,0.45927
0.66805,0.56718,0.45841
0.67075,0.56769,0.46388
0.67075,0.56769,0.46388
0.67771,0.57538,0.45809
0.6768,0.57066,0.45616
0.67688,0.56723,0.45751
0.67211,0.57317,0.45479
0.6737,0.57064,0.44438
0.67606,0.57158,0.45615
0.67441,0.573,0.46255
0.67815,0.58073,0.45179
0.6733,0.57438,0.45006
0.67369,0.57139,0.45331
0.67684,0.57773,0.45392
0.6756,0.5717,0.45546
0.67404,0.57098,0.45911
0.67332,0.57157,0.45081
0.67649,0.57311,0.45005
0.67745,0.57806,0.45104
0.67745,0.57806,0.45104
0.67745,0.57806,0.45104
0.67745,0.57806,0.45104
0.67745,0.57806,0.45104
0.67644,0.57694,0.44839
0.67644,0.57694,0.44839
0.6753,0.58028,0.44668
0.67887,0.57827,0.44535
0.67887,0.57827,0.44535
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
0.67706,0.57831,0.45512
